sub_comp,mpid,reduced_formula
"['Li', 'Sr', 'S', 2.0, 1.0, 1.0]",mp-10686,SrLi2S
"['Li', 'Cd', 'S', 2.0, 1.0, 1.0]",mp-10686,Li2CdS
"['Li', 'In', 'S', 2.0, 1.0, 1.0]",mp-10686,Li2InS
"['Li', 'Sn', 'S', 2.0, 1.0, 1.0]",mp-10686,Li2SnS
"['Li', 'Te', 'S', 2.0, 1.0, 1.0]",mp-10686,Li2TeS
"['Li', 'I', 'S', 2.0, 1.0, 1.0]",mp-10686,Li2SI
"['Li', 'Ba', 'S', 2.0, 1.0, 1.0]",mp-10686,BaLi2S
"['Li', 'Hg', 'S', 2.0, 1.0, 1.0]",mp-10686,Li2HgS
"['Li', 'Pb', 'S', 2.0, 1.0, 1.0]",mp-10686,Li2PbS
"['Li', 'S', 'Li', 1.0, 1.0, 1.0]",mp-10687,Li2S
"['Li', 'S', 'B', 1.0, 1.0, 1.0]",mp-10687,LiBS
"['Li', 'S', 'C', 1.0, 1.0, 1.0]",mp-10687,LiCS
"['Li', 'S', 'N', 1.0, 1.0, 1.0]",mp-10687,LiSN
"['Li', 'S', 'O', 1.0, 1.0, 1.0]",mp-10687,LiSO
"['Li', 'S', 'F', 1.0, 1.0, 1.0]",mp-10687,LiSF
"['Li', 'S', 'Na', 1.0, 1.0, 1.0]",mp-10687,NaLiS
"['Li', 'S', 'Mg', 1.0, 1.0, 1.0]",mp-10687,LiMgS
"['Li', 'S', 'Al', 1.0, 1.0, 1.0]",mp-10687,LiAlS
"['Li', 'S', 'Si', 1.0, 1.0, 1.0]",mp-10687,LiSiS
"['Li', 'S', 'P', 1.0, 1.0, 1.0]",mp-10687,LiPS
"['Li', 'S', 'S', 1.0, 1.0, 1.0]",mp-10687,LiS2
"['Li', 'S', 'Cl', 1.0, 1.0, 1.0]",mp-10687,LiSCl
"['Li', 'S', 'Ca', 1.0, 1.0, 1.0]",mp-10687,LiCaS
"['Li', 'S', 'Zn', 1.0, 1.0, 1.0]",mp-10687,LiZnS
"['Li', 'S', 'Ga', 1.0, 1.0, 1.0]",mp-10687,LiGaS
"['Li', 'S', 'Ge', 1.0, 1.0, 1.0]",mp-10687,LiGeS
"['Li', 'S', 'As', 1.0, 1.0, 1.0]",mp-10687,LiAsS
"['Li', 'S', 'Se', 1.0, 1.0, 1.0]",mp-10687,LiSeS
"['Li', 'S', 'Sr', 1.0, 1.0, 1.0]",mp-10687,SrLiS
"['Li', 'S', 'Cd', 1.0, 1.0, 1.0]",mp-10687,LiCdS
"['Li', 'S', 'In', 1.0, 1.0, 1.0]",mp-10687,LiInS
"['Li', 'S', 'Sn', 1.0, 1.0, 1.0]",mp-10687,LiSnS
"['Li', 'S', 'Te', 1.0, 1.0, 1.0]",mp-10687,LiTeS
"['Li', 'S', 'I', 1.0, 1.0, 1.0]",mp-10687,LiSI
"['Li', 'S', 'Ba', 1.0, 1.0, 1.0]",mp-10687,BaLiS
"['Li', 'S', 'Hg', 1.0, 1.0, 1.0]",mp-10687,LiHgS
"['Li', 'S', 'Pb', 1.0, 1.0, 1.0]",mp-10687,LiPbS
"['Li', 'Li', 'S', 1.0, 1.0, 1.0]",mp-10687,Li2S
"['Li', 'B', 'S', 1.0, 1.0, 1.0]",mp-10687,LiBS
"['Li', 'C', 'S', 1.0, 1.0, 1.0]",mp-10687,LiCS
"['Li', 'N', 'S', 1.0, 1.0, 1.0]",mp-10687,LiSN
"['Li', 'O', 'S', 1.0, 1.0, 1.0]",mp-10687,LiSO
"['Li', 'F', 'S', 1.0, 1.0, 1.0]",mp-10687,LiSF
"['Li', 'Na', 'S', 1.0, 1.0, 1.0]",mp-10687,NaLiS
"['Li', 'Mg', 'S', 1.0, 1.0, 1.0]",mp-10687,LiMgS
"['Li', 'Al', 'S', 1.0, 1.0, 1.0]",mp-10687,LiAlS
"['Li', 'Si', 'S', 1.0, 1.0, 1.0]",mp-10687,LiSiS
"['Li', 'P', 'S', 1.0, 1.0, 1.0]",mp-10687,LiPS
"['Li', 'S', 'S', 1.0, 1.0, 1.0]",mp-10687,LiS2
"['Li', 'Cl', 'S', 1.0, 1.0, 1.0]",mp-10687,LiSCl
"['Li', 'Ca', 'S', 1.0, 1.0, 1.0]",mp-10687,LiCaS
"['Li', 'Zn', 'S', 1.0, 1.0, 1.0]",mp-10687,LiZnS
"['Li', 'Ga', 'S', 1.0, 1.0, 1.0]",mp-10687,LiGaS
"['Li', 'Ge', 'S', 1.0, 1.0, 1.0]",mp-10687,LiGeS
"['Li', 'As', 'S', 1.0, 1.0, 1.0]",mp-10687,LiAsS
"['Li', 'Se', 'S', 1.0, 1.0, 1.0]",mp-10687,LiSeS
"['Li', 'Sr', 'S', 1.0, 1.0, 1.0]",mp-10687,SrLiS
"['Li', 'Cd', 'S', 1.0, 1.0, 1.0]",mp-10687,LiCdS
"['Li', 'In', 'S', 1.0, 1.0, 1.0]",mp-10687,LiInS
"['Li', 'Sn', 'S', 1.0, 1.0, 1.0]",mp-10687,LiSnS
"['Li', 'Te', 'S', 1.0, 1.0, 1.0]",mp-10687,LiTeS
"['Li', 'I', 'S', 1.0, 1.0, 1.0]",mp-10687,LiSI
"['Li', 'Ba', 'S', 1.0, 1.0, 1.0]",mp-10687,BaLiS
"['Li', 'Hg', 'S', 1.0, 1.0, 1.0]",mp-10687,LiHgS
"['Li', 'Pb', 'S', 1.0, 1.0, 1.0]",mp-10687,LiPbS
