id,composition,target
140,Li3C1S2,0
141,Li1S1O2,0
142,Li3Se2S1,0
143,Li3Cd1S2,0
144,Li2Te1S1,0
145,Li3Si2S1,0
146,Li1Se2S1,0
147,Li2S1F1,0
148,Li2P1S1,0
149,Li3Cd2S1,0
150,Ba1Li1S1,0
151,Li1Pb1S1,0
152,Li1In2S1,0
153,Ba1Li2S1,0
154,Li3S1,0
155,Li2Al1S1,0
156,Li1Ga1S1,0
157,Na2Li3S1,0
158,Li2Ge1S1,0
159,Li1C1S1,0
160,Li1Ca2S1,0
161,Li1Ge2S1,0
162,Sr2Li1S1,0
163,Li1Ca3S2,0
164,Li1In3S2,0
165,Li3Hg1S2,0
166,Li1S1N1,0
167,Li3Hg2S1,0
168,Li1S2N3,0
169,Li1S1I2,0
170,Li3Mg2S1,0
171,Li1Te2S1,0
172,Li3Ca2S1,0
173,Li3Al1S2,0
174,Na1Li1S1,0
175,Li3Ge2S1,0
176,Li1Cd2S1,0
177,Li1Ga1S2,0
178,Li1Si2S3,0
179,Li1S3F2,0
180,Sr1Li2S1,0
181,Li3S2O1,0
182,Li1Cd2S3,0
183,Li1S2F1,0
184,Li1B1S1,0
185,Li3S1F2,0
186,Li1Sn2S3,0
187,Li1Te1S2,0
188,Ba1Li1S2,0
189,Li1S2I3,0
190,Li1C1S2,0
191,Li1Sn2S1,0
192,Li1Ca1S1,0
193,Li1As1S1,0
194,Li1Mg1S2,0
195,Li1Te1S1,0
196,Li3Ga1S2,0
197,Li3Te2S1,0
198,Li1Si1S2,0
199,Li3Zn2S1,0
200,Li1S5,0
201,Li1Te2S3,0
202,Li1Pb2S1,0
203,Li3Pb2S1,0
204,Li1Zn3S2,0
205,Li1S1F2,0
206,Li1Si2S1,0
207,Li1Hg2S1,0
208,Li1In1S2,0
209,Ba3Li1S2,0
210,Li3Mg1S2,0
211,Li3Si1S2,0
212,Li3As1S2,0
213,Li1B3S2,0
214,Li1S3N2,0
