id,composition,target
0,Li1Ca1S2,0
1,Li1C2S3,0
2,Li1B2S1,0
3,Li1B1S2,0
4,Li1Mg3S2,0
5,Li3Pb1S2,0
6,Li1S1N2,0
7,Li1Ga3S2,0
8,Li1As2S1,0
9,Li1S2O1,0
10,Li2Ca1S1,0
11,Li3Al2S1,0
12,Li1S2Cl3,0
13,Li3S1I2,0
14,Li1Hg3S2,0
15,Na2Li1S1,0
16,Li3Ga2S1,0
17,Li1Se2S3,0
18,Na1Li3S2,0
19,Li1Pb3S2,0
20,Li2S1Cl1,0
21,Li1Ga2S3,0
22,Li1C3S2,0
23,Li1Al2S1,0
24,Li1S2N1,0
25,Ba2Li3S1,0
26,Li1S1F1,0
27,Ba2Li1S3,0
28,Li2C1S1,0
29,Li2Ga1S1,0
30,Li1S3,0
31,Li1S1Cl1,0
32,Li1Cd1S1,0
33,Li1Hg2S3,0
34,Li1Cd1S2,0
35,Li3C2S1,0
36,Li1As1S2,0
37,Ba1Li3S2,0
38,Li1Al2S3,0
39,Li1S1,0
40,Li1S2O3,0
41,Li1Ge3S2,0
42,Li1S2Cl1,0
43,Na3Li1S2,0
44,Sr2Li1S3,0
45,Li1Zn2S1,0
46,Li1As3S2,0
47,Li1Si3S2,0
48,Li3In2S1,0
49,Li1Cd3S2,0
50,Li2Cd1S1,0
51,Li2Sn1S1,0
52,Li3In1S2,0
53,Li2B1S1,0
54,Li1Mg2S1,0
55,Na1Li1S2,0
56,Li3B1S2,0
57,Li1S3I2,0
58,Li5S1,0
59,Li1P1S2,0
60,Li3Sn1S2,0
61,Li3Se1S2,0
62,Li1Mg1S1,0
63,Li1Hg1S2,0
64,Li3Sn2S1,0
65,Sr1Li1S1,0
66,Li1Si1S1,0
67,Li1Mg2S3,0
68,Li1In1S1,0
69,Li1Sn1S2,0
70,Li3S2F1,0
71,Li2Se1S1,0
72,Li1S3O2,0
73,Li1S3Cl2,0
74,Sr2Li3S1,0
75,Li1P1S1,0
76,Li1P2S3,0
77,Li3S1N2,0
78,Li1Se3S2,0
79,Li3P2S1,0
80,Na1Li2S1,0
81,Na2Li1S3,0
82,Li3S2N1,0
83,Li3P1S2,0
84,Sr1Li3S2,0
85,Ba2Li1S1,0
86,Li3S1O2,0
87,Li3Zn1S2,0
88,Li3Ge1S2,0
89,Li1Hg1S1,0
90,Li1Ca2S3,0
91,Li2Si1S1,0
92,Li1Ge2S3,0
93,Li2In1S1,0
94,Li2S1O1,0
95,Li2Hg1S1,0
96,Li1Pb2S3,0
97,Li1S2I1,0
98,Li3S1Cl2,0
99,Li3S2Cl1,0
100,Li1Al3S2,0
101,Li1As2S3,0
102,Li1In2S3,0
103,Li1Zn2S3,0
104,Li1S1I1,0
105,Li3Ca1S2,0
106,Li3S2I1,0
107,Li1S2,0
108,Li2Mg1S1,0
109,Li1Se1S1,0
110,Li1Al1S2,0
111,Li2S1I1,0
112,Li2As1S1,0
113,Li2S1N1,0
114,Li2Pb1S1,0
115,Li3B2S1,0
116,Li1P3S2,0
117,Li1Te3S2,0
118,Li2S1,0
119,Li1Se1S2,0
120,Li1P2S1,0
121,Sr3Li1S2,0
122,Li1S1O1,0
123,Li1C2S1,0
124,Li1S2F3,0
125,Li1B2S3,0
126,Sr1Li1S2,0
127,Li3Te1S2,0
128,Li1Zn1S1,0
129,Li3As2S1,0
130,Li1Ge1S1,0
131,Li1Ga2S1,0
132,Li1Sn3S2,0
133,Li1Pb1S2,0
134,Li1Zn1S2,0
135,Li2Zn1S1,0
136,Li1Al1S1,0
137,Li1Ge1S2,0
138,Li1Sn1S1,0
139,Li1S1Cl2,0
