composition,roost_ensemble_mean,e_hull_from_roost,roost_band_gap,pretty_formula
Na1Li6S4,-1.3615498781204225,0.0661271972583648,3.1030819416046143,Na(Li3S2)2
Li17Se6S5,-1.4182212471961977,-0.0641466574305718,2.161156177520752,Li17Se6S5
Li1Se2S1,-0.7174154281616211,-0.0674411282536965,2.7190699577331543,LiSe2S
Na5Li1S2,-0.9680610418319702,0.0126925316576136,2.516691207885742,Na5LiS2
Li3Hg8S5,-0.3954272627830505,0.1933292056935124,0.8542633056640625,Li3Hg8S5
Li1P2S1,-0.6206398963928222,0.0802585488586654,2.1505558490753174,LiP2S
Li7S5,-1.3210143208503724,0.0263868121977437,3.473522186279297,Li7S5
Li2Si19S15,-0.6535561084747314,0.0620432225032789,2.112391471862793,Li2Si19S15
Li17Mg5S6,-0.8592253208160401,0.1291784948536023,2.894622802734375,Li17Mg5S6
Li6Pb1S4,-1.3555851578712463,0.0173952414469362,1.1119027137756348,Li6PbS4
Li1Ga1S2,-1.2815327882766725,-0.0041846775475054,3.948630332946777,LiGaS2
Li6In1S4,-1.3453781366348267,0.0355017917742648,2.9994304180145264,Li6InS4
Li1S2,-0.9019704401493072,-0.0236095644151794,4.491009712219238,LiS2
Ba1Li2S2,-1.8373030304908755,-0.0030444945742078,3.4720025062561035,Ba(LiS)2
Li6Zn1S4,-1.424084222316742,-0.0004226947518062,2.650219440460205,Li6ZnS4
Li17Se5S6,-1.4312585711479189,-0.0679743802829633,2.157255887985229,Li17Se5S6
Li2In15S19,-0.8939736127853394,-0.0273519145156641,1.9061670303344729,Li2In15S19
Li6Sn1S4,-1.2969400763511658,0.0602737397851982,1.300834059715271,Li6SnS4
Li1Se5S2,-0.4579816043376922,-0.0738432310345854,2.391655921936035,LiSe5S2
Li2Sn1S6,-0.8443071365356445,-0.0100053497962255,2.1599667072296143,Li2SnS6
Li2Ca2S1,-0.8144397914409638,0.1524470138507025,2.410489559173584,Li2Ca2S
Li2Zn19S15,-0.950149029493332,0.0021533407902322,2.2627670764923096,Li2Zn19S15
Li6Mg4S1,-0.3003156304359436,0.1540043310602685,1.78816556930542,Li6Mg4S
Li2S19I15,-0.2750898480415344,-0.1005881614211647,2.728190898895264,Li2S19I15
Li1Al5S2,-0.5719046294689178,0.1938211602706658,2.9281046390533447,LiAl5S2
Sr1Li6S4,-1.678688156604767,-0.0128822084987045,3.400786876678467,Sr(Li3S2)2
Li2Ga15S19,-1.0722573280334473,-0.0689540473332159,3.5146281719207764,Li2Ga15S19
Li1S1,-1.1644508719444275,0.0266035086656917,4.5294342041015625,LiS
Li6As4S1,-0.6649749577045441,0.0990208621250015,0.9333841800689696,Li6As4S
Li3S13,-0.5953136563301087,-0.0063704639863584,2.684656381607056,Li3S13
Li1Cd1S2,-0.9672273993492126,0.0743900767370973,2.8600478172302246,LiCdS2
Li2Si1S6,-0.942711877822876,-0.0198310994167918,3.510528564453125,Li2SiS6
Na6Li17S5,-0.6089877724647522,0.1965914519028072,2.3413875102996826,Na6Li17S5
Li3Cd5S8,-0.943926727771759,0.0603315221835983,2.553285598754883,Li3Cd5S8
Li2Te2S1,-0.9159542500972748,0.084698688168751,1.6136815547943115,Li2Te2S
Li2Se1S6,-0.7862880945205688,-0.0161627801397823,2.3552727699279785,Li2SeS6
Li1S2O5,-1.808927750587464,0.184284778527122,6.265999794006348,LiS2O5
Li1Te1S2,-0.7363585770130158,-0.0070942148065752,2.5078577995300293,LiTeS2
Li1S2Cl1,-1.05001699924469,0.0502691128594769,5.328657627105713,LiS2Cl
Li1S5F2,-1.0489684998989106,0.0703527000555168,6.81307315826416,LiS5F2
Li23S5,-0.7530448794364929,0.052534344931067,1.8744295835494995,Li23S5
Li2Se6S1,-0.7102350056171417,-0.1850589375648929,2.014909267425537,Li2Se6S
Li3S1,-1.2253588080406188,-0.0975478939260354,2.239781141281128,Li3S
Li1S2I5,-0.2448068976402282,0.1292966733493552,2.379991054534912,LiS2I5
Li2P1S2,-1.0813189506530765,0.0401185617493051,3.407032012939453,Li2PS2
Li2Zn1S6,-0.7638560771942139,0.0861089177198078,2.829575061798096,Li2ZnS6
Li1Se1S2,-0.6809826493263245,0.0872940972798885,3.086036205291748,LiSeS2
Ba6Li17S5,-0.7283989071846009,0.103884781944864,2.1577372550964355,Ba6Li17S5
Li2B6S1,-0.4154757022857666,0.0857735928762709,2.205274820327759,Li2B6S
Li2Te15S19,-0.3107958674430847,-0.1362941808227158,1.926650166511536,Li2Te15S19
Li3Te8S5,-0.5087599992752075,0.0415754170398962,1.5440237522125244,Li3Te8S5
Li6S4Cl1,-1.2507230639457705,0.1975880664438405,3.4328277111053467,Li6S4Cl
Li1As1S2,-0.8558574616909027,0.0032793040382639,1.9679925441741943,LiAsS2
Li1P5S2,-0.4564080655574798,0.0100842194499624,1.349435329437256,LiP5S2
Ba1Li6S4,-1.6668752312660218,-0.0128952319478379,2.9214601516723637,Ba(Li3S2)2
Li2Al19S15,-1.0974605321884154,-0.0653918201764565,3.598536968231201,Li2Al19S15
Li3Si8S5,-0.6049818813800811,0.1499836529558564,2.156157970428467,Li3Si8S5
Li2P2S1,-0.7142254710197449,0.1880232602719216,2.2111589908599854,Li2P2S
Li2S1Cl6,-1.25031316280365,0.1099287080875544,4.214334487915039,Li2SCl6
Li1Ga2S5,-0.8821516036987305,0.0815111645341559,3.918002367019653,LiGa2S5
Li6S1Cl4,-1.856922447681427,0.1073187916935731,4.080428123474121,Li6SCl4
Li1In2S5,-0.7064818680286408,0.1729718096908533,2.8422605991363525,LiIn2S5
Li6Ge4S1,-0.5052202045917511,0.1111174875105214,0.8099857568740845,Li6Ge4S
Li17S6F5,-1.938293981552124,0.1590997295044236,4.810935974121094,Li17S6F5
Sr19Li2S15,-1.9617083549499512,0.0341810032965772,2.170432806015014,Sr19Li2S15
Li6As1S4,-1.2641723513603211,0.0412526555336181,1.716996431350708,Li6AsS4
Li1S1O2,-1.939654743671417,0.1886608024776712,5.2933735847473145,LiSO2
Li3Mg5S8,-1.331222873926163,0.1648476958208609,3.854307651519776,Li3Mg5S8
Li2As15S19,-0.4789762735366821,0.0240410535003542,1.5509469509124756,Li2As15S19
Ba4Li6S1,-0.3544934451580047,0.0696516723988135,1.891889333724976,Ba4Li6S
Li2Se15S19,-0.2273029327392578,0.1405959776703821,2.771121025085449,Li2Se15S19
Li2S3,-1.0163896322250363,-0.0129513545405115,4.878231525421143,Li2S3
Li1Ga2S1,-0.6492023706436157,0.1525173043043007,2.888704538345337,LiGa2S
Li2Cd15S19,-0.7964597642421722,0.0934175246822648,2.1470372676849365,Li2Cd15S19
Li3Pb5S8,-0.9407253444194794,0.0005359066742716,0.5160150527954102,Li3Pb5S8
Li3In5S8,-1.0956785917282104,-0.0212913123532101,3.0856661796569824,Li3In5S8
Li3Sn5S8,-0.9722722887992858,-0.027786320830536,1.2778456211090088,Li3Sn5S8
Li2S1I6,-0.6635486662387848,-0.0231759496878594,2.0959701538085938,Li2SI6
Li3Te5S8,-0.5858160614967346,-0.0189344554550675,2.3141307830810547,Li3Te5S8
Sr5Li3S8,-1.8867095470428468,0.0698325148061109,3.409475326538086,Sr5Li3S8
Li17S6N5,-0.9209981620311736,0.1990802914360874,2.266547203063965,Li17S6N5
Ba5Li17S6,-0.9436446607112884,0.0496227954345441,2.328917980194092,Ba5Li17S6
Li2Te6S1,-0.5799030184745788,0.0494676817337544,0.9961225986480712,Li2Te6S
Na1Li2S6,-0.8243413209915161,0.0798605087836165,3.5120363235473637,Na(LiS3)2
Na5Li17S6,-0.8941127836704255,0.0725822855706457,2.541899919509888,Na5Li17S6
Li17S5N6,-0.8676721751689911,0.1392564460438059,2.283132076263428,Li17S5N6
Li2P6S1,-0.4451898515224456,0.0560594436395919,0.9363210201263428,Li2P6S
Li17Te5S6,-1.2951082944869996,0.0236036156469294,1.7350890636444092,Li17Te5S6
Li1In1S2,-1.1689158082008362,0.0159702400283312,3.4877500534057617,LiInS2
Li17S5I6,-1.3589598655700683,0.0561822395117765,2.625373363494873,Li17S5I6
