pretty_formula,composition,elements,elements_tuple
LiAs3S2,Li1As3S2,"['As', 'Li', 'S']","('As', 'Li', 'S')"
LiSi3S2,Li1Si3S2,"['Li', 'S', 'Si']","('Li', 'S', 'Si')"
Li3In2S,Li3In2S1,"['In', 'Li', 'S']","('In', 'Li', 'S')"
LiCd3S2,Li1Cd3S2,"['Cd', 'Li', 'S']","('Cd', 'Li', 'S')"
Li2CdS,Li2Cd1S1,"['Cd', 'Li', 'S']","('Cd', 'Li', 'S')"
Li2SnS,Li2Sn1S1,"['Li', 'S', 'Sn']","('Li', 'S', 'Sn')"
Li3InS2,Li3In1S2,"['In', 'Li', 'S']","('In', 'Li', 'S')"
Li2BS,Li2B1S1,"['B', 'Li', 'S']","('B', 'Li', 'S')"
LiMg2S,Li1Mg2S1,"['Li', 'Mg', 'S']","('Li', 'Mg', 'S')"
NaLiS2,Na1Li1S2,"['Li', 'Na', 'S']","('Li', 'Na', 'S')"
Li3BS2,Li3B1S2,"['B', 'Li', 'S']","('B', 'Li', 'S')"
LiS3I2,Li1S3I2,"['I', 'Li', 'S']","('I', 'Li', 'S')"
Li5S,Li5S1,"['Li', 'S']","('Li', 'S')"
LiPS2,Li1P1S2,"['Li', 'P', 'S']","('Li', 'P', 'S')"
Li3SnS2,Li3Sn1S2,"['Li', 'S', 'Sn']","('Li', 'S', 'Sn')"
Li3SeS2,Li3Se1S2,"['Li', 'S', 'Se']","('Li', 'S', 'Se')"
LiMgS,Li1Mg1S1,"['Li', 'Mg', 'S']","('Li', 'Mg', 'S')"
LiHgS2,Li1Hg1S2,"['Hg', 'Li', 'S']","('Hg', 'Li', 'S')"
Li3Sn2S,Li3Sn2S1,"['Li', 'S', 'Sn']","('Li', 'S', 'Sn')"
SrLiS,Sr1Li1S1,"['Li', 'S', 'Sr']","('Li', 'S', 'Sr')"
LiSiS,Li1Si1S1,"['Li', 'S', 'Si']","('Li', 'S', 'Si')"
LiMg2S3,Li1Mg2S3,"['Li', 'Mg', 'S']","('Li', 'Mg', 'S')"
LiInS,Li1In1S1,"['In', 'Li', 'S']","('In', 'Li', 'S')"
