id,composition,target,pred_0
0,Na1Li6S4,0.0,3.1030819416046143
1,Li17Se6S5,0.0,2.161156177520752
2,Li1Se2S1,0.0,2.7190699577331543
3,Na5Li1S2,0.0,2.516691207885742
4,Li3Hg8S5,0.0,0.8542633056640625
5,Li1P2S1,0.0,2.1505558490753174
6,Li7S5,0.0,3.473522186279297
7,Li2Si19S15,0.0,2.112391471862793
8,Li17Mg5S6,0.0,2.894622802734375
9,Li6Pb1S4,0.0,1.1119027137756348
10,Li1Ga1S2,0.0,3.9486303329467773
11,Li6In1S4,0.0,2.9994304180145264
12,Li1S2,0.0,4.491009712219238
13,Ba1Li2S2,0.0,3.4720025062561035
14,Li6Zn1S4,0.0,2.650219440460205
15,Li17Se5S6,0.0,2.1572558879852295
16,Li2In15S19,0.0,1.9061670303344727
17,Li6Sn1S4,0.0,1.300834059715271
18,Li1Se5S2,0.0,2.391655921936035
19,Li2Sn1S6,0.0,2.1599667072296143
20,Li2Ca2S1,0.0,2.410489559173584
21,Li2Zn19S15,0.0,2.2627670764923096
22,Li6Mg4S1,0.0,1.78816556930542
23,Li2S19I15,0.0,2.7281908988952637
24,Li1Al5S2,0.0,2.9281046390533447
25,Sr1Li6S4,0.0,3.400786876678467
26,Li2Ga15S19,0.0,3.5146281719207764
27,Li1S1,0.0,4.5294342041015625
28,Li6Pb4S1,0.0,0.28876185417175293
29,Li6As4S1,0.0,0.9333841800689697
30,Li3S13,0.0,2.6846563816070557
31,Li1Cd1S2,0.0,2.8600478172302246
32,Li2Si1S6,0.0,3.510528564453125
33,Na6Li17S5,0.0,2.3413875102996826
34,Li3Cd5S8,0.0,2.553285598754883
35,Li1Ge5S2,0.0,0.4266701936721802
36,Li2Te2S1,0.0,1.6136815547943115
37,Li2Se1S6,0.0,2.3552727699279785
38,Li1S2O5,0.0,6.265999794006348
39,Li1Te1S2,0.0,2.5078577995300293
40,Li1S2Cl1,0.0,5.328657627105713
41,Li1S5F2,0.0,6.81307315826416
42,Li23S5,0.0,1.8744295835494995
43,Li2Se6S1,0.0,2.014909267425537
44,Li3S1,0.0,2.239781141281128
45,Li1S2I5,0.0,2.379991054534912
46,Li2P1S2,0.0,3.407032012939453
47,Li2Zn1S6,0.0,2.8295750617980957
48,Li1Se1S2,0.0,3.086036205291748
49,Ba6Li17S5,0.0,2.1577372550964355
50,Li2B6S1,0.0,2.205274820327759
51,Li2Te15S19,0.0,1.9266501665115356
52,Li3Te8S5,0.0,1.5440237522125244
53,Li2Pb15S19,0.0,0.2281566858291626
54,Li6S4Cl1,0.0,3.4328277111053467
55,Li1As1S2,0.0,1.9679925441741943
56,Li1P5S2,0.0,1.3494353294372559
57,Li6Sn4S1,0.0,0.35535120964050293
58,Ba1Li6S4,0.0,2.9214601516723633
59,Li2Al19S15,0.0,3.598536968231201
60,Li3Si8S5,0.0,2.156157970428467
61,Li2P2S1,0.0,2.2111589908599854
62,Li2S1Cl6,0.0,4.214334487915039
63,Li1Ga2S5,0.0,3.9180023670196533
64,Li6S1Cl4,0.0,4.080428123474121
65,Li1In2S5,0.0,2.8422605991363525
66,Li6Ge4S1,0.0,0.8099857568740845
67,Li17S6F5,0.0,4.810935974121094
