id,composition,target
247,Li1Al2S5,0
248,Li2B1S6,0
249,Li2In1S2,0
250,Li1S7,0
251,Li2Pb1S2,0
252,Li2Hg15S19,0
253,Li2P15S19,0
254,Li6C1S4,0
255,Li2Ge19S15,0
256,Ba1Li2S6,0
257,Li1C1S2,0
258,Li2Se1S2,0
259,Li17P6S5,0
260,Li4S1,0
261,Na8Li3S5,0
262,Li17Mg6S5,0
263,Li3Sn8S5,0
264,Li2Pb1S6,0
265,Ba5Li3S8,0
266,Li17As5S6,0
267,Li1S2F5,0
268,Li3Se5S8,0
269,Li1As2S5,0
270,Li2As2S1,0
271,Li6Cd4S1,0
272,Li1Ca1S2,0
273,Li3Ca5S8,0
274,Li6C4S1,0
275,Li17Ga5S6,0
276,Li2S1F6,0
277,Li3B5S8,0
278,Li3S8I5,0
279,Li11S3,0
280,Li17In5S6,0
281,Li1Pb5S2,0
282,Li2Ga1S6,0
283,Li3Hg5S8,0
284,Ba2Li2S1,0
285,Sr1Li2S2,0
286,Sr1Li2S6,0
287,Li2Sn19S15,0
288,Li3Al8S5,0
289,Li17S6I5,0
290,Li6Si4S1,0
291,Li17Al5S6,0
292,Li6Si1S4,0
293,Li2Al1S6,0
294,Li2Hg1S2,0
295,Li6Ca1S4,0
296,Li2Hg1S6,0
297,Li17Sn5S6,0
298,Li2Ca1S6,0
299,Li1S5Cl2,0
300,Li17Si5S6,0
301,Li6Cd1S4,0
302,Li2S15Cl19,0
303,Li17S6Cl5,0
304,Li3As8S5,0
305,Li2Zn6S1,0
306,Li2Te1S6,0
307,Li1S1F2,0
308,Li11S5,0
309,Li2Se2S1,0
310,Li2Ga1S2,0
311,Li3B8S5,0
312,Li2In6S1,0
313,Li2Sn15S19,0
314,Li1Pb2S1,0
315,Li6Ga1S4,0
316,Li17Pb6S5,0
317,Ba15Li2S19,0
318,Li17S5Cl6,0
