id,composition,roost_ensemble_mean,e_hull_from_roost
1,Na1Li6S4,-1.3615498781204225,0.0661271972583648
2,Li17Se6S5,-1.4182212471961977,-0.0641466574305718
3,Li1Se2S1,-0.7174154281616211,-0.0674411282536965
5,Na5Li1S2,-0.9680610418319702,0.0126925316576136
6,Li3Hg8S5,-0.3954272627830505,0.1933292056935124
10,Li1P2S1,-0.6206398963928222,0.0802585488586654
11,Li7S5,-1.3210143208503724,0.0263868121977437
12,Li2Si19S15,-0.6535561084747314,0.0620432225032789
13,Li17Mg5S6,-0.8592253208160401,0.1291784948536023
15,Li6Pb1S4,-1.3555851578712463,0.0173952414469362
16,Li1Ga1S2,-1.2815327882766725,-0.0041846775475054
18,Li6In1S4,-1.3453781366348267,0.0355017917742648
19,Li1S2,-0.9019704401493072,-0.0236095644151794
20,Ba1Li2S2,-1.8373030304908755,-0.0030444945742078
21,Li6Zn1S4,-1.424084222316742,-0.0004226947518062
22,Li17Se5S6,-1.4312585711479189,-0.0679743802829633
23,Li2In15S19,-0.8939736127853394,-0.0273519145156641
24,Li6Sn1S4,-1.2969400763511658,0.0602737397851982
25,Li1Se5S2,-0.4579816043376922,-0.0738432310345854
27,Li2Sn1S6,-0.8443071365356445,-0.0100053497962255
28,Li2Ca2S1,-0.8144397914409638,0.1524470138507025
29,Li2Zn19S15,-0.950149029493332,0.0021533407902322
31,Li6Mg4S1,-0.3003156304359436,0.1540043310602685
32,Li2S19I15,-0.2750898480415344,-0.1005881614211647
33,Li1Al5S2,-0.5719046294689178,0.1938211602706658
35,Sr1Li6S4,-1.678688156604767,-0.0128822084987045
37,Li2Ga15S19,-1.0722573280334473,-0.0689540473332159
38,Li1S1,-1.1644508719444275,0.0266035086656917
40,Li6Pb4S1,-0.472448855638504,0.1354151337364957
42,Li6As4S1,-0.6649749577045441,0.0990208621250015
43,Li3S13,-0.5953136563301087,-0.0063704639863584
44,Li1Cd1S2,-0.9672273993492126,0.0743900767370973
45,Li2Si1S6,-0.942711877822876,-0.0198310994167918
46,Na6Li17S5,-0.6089877724647522,0.1965914519028072
47,Li3Cd5S8,-0.943926727771759,0.0603315221835983
48,Li1Ge5S2,-0.3531635642051697,0.1343148205344148
50,Li2Te2S1,-0.9159542500972748,0.084698688168751
52,Li2Se1S6,-0.7862880945205688,-0.0161627801397823
53,Li1S2O5,-1.808927750587464,0.184284778527122
54,Li1Te1S2,-0.7363585770130158,-0.0070942148065752
55,Li1S2Cl1,-1.05001699924469,0.0502691128594769
56,Li1S5F2,-1.0489684998989106,0.0703527000555168
58,Li23S5,-0.7530448794364929,0.052534344931067
59,Li2Se6S1,-0.7102350056171417,-0.1850589375648929
60,Li3S1,-1.2253588080406188,-0.0975478939260354
62,Li1S2I5,-0.2448068976402282,0.1292966733493552
63,Li2P1S2,-1.0813189506530765,0.0401185617493051
65,Li2Zn1S6,-0.7638560771942139,0.0861089177198078
66,Li1Se1S2,-0.6809826493263245,0.0872940972798885
67,Ba6Li17S5,-0.7283989071846009,0.103884781944864
68,Li2B6S1,-0.4154757022857666,0.0857735928762709
70,Li2Te15S19,-0.3107958674430847,-0.1362941808227158
71,Li3Te8S5,-0.5087599992752075,0.0415754170398962
72,Li2Pb15S19,-0.7872069895267486,0.0167691170762591
74,Li6S4Cl1,-1.2507230639457705,0.1975880664438405
76,Li1As1S2,-0.8558574616909027,0.0032793040382639
78,Li1P5S2,-0.4564080655574798,0.0100842194499624
79,Li6Sn4S1,-0.5311174929141999,0.1222513728244351
80,Ba1Li6S4,-1.6668752312660218,-0.0128952319478379
83,Li2Al19S15,-1.0974605321884154,-0.0653918201764565
85,Li3Si8S5,-0.6049818813800811,0.1499836529558564
86,Li2P2S1,-0.7142254710197449,0.1880232602719216
87,Li2S1Cl6,-1.25031316280365,0.1099287080875544
89,Li1Ga2S5,-0.8821516036987305,0.0815111645341559
90,Li6S1Cl4,-1.856922447681427,0.1073187916935731
92,Li1In2S5,-0.7064818680286408,0.1729718096908533
94,Li6Ge4S1,-0.5052202045917511,0.1111174875105214
95,Li17S6F5,-1.938293981552124,0.1590997295044236
97,Sr19Li2S15,-1.9617083549499512,0.0341810032965772
98,Li6As1S4,-1.2641723513603211,0.0412526555336181
99,Li1S1O2,-1.939654743671417,0.1886608024776712
100,Li3Mg5S8,-1.331222873926163,0.1648476958208609
101,Li2As15S19,-0.4789762735366821,0.0240410535003542
102,Ba4Li6S1,-0.3544934451580047,0.0696516723988135
103,Li2Se15S19,-0.2273029327392578,0.1405959776703821
104,Li2S3,-1.0163896322250363,-0.0129513545405115
105,Li1Ga2S1,-0.6492023706436157,0.1525173043043007
107,Li2Cd15S19,-0.7964597642421722,0.0934175246822648
109,Li3Pb5S8,-0.9407253444194794,0.0005359066742716
110,Li3In5S8,-1.0956785917282104,-0.0212913123532101
111,Li3Sn5S8,-0.9722722887992858,-0.027786320830536
112,Li2S1I6,-0.6635486662387848,-0.0231759496878594
113,Li3Te5S8,-0.5858160614967346,-0.0189344554550675
114,Sr5Li3S8,-1.8867095470428468,0.0698325148061109
115,Li17S6N5,-0.9209981620311736,0.1990802914360874
117,Ba5Li17S6,-0.9436446607112884,0.0496227954345441
118,Li2Sn6S1,-0.3276692509651184,0.1735800441969187
119,Li2Te6S1,-0.5799030184745788,0.0494676817337544
121,Na1Li2S6,-0.8243413209915161,0.0798605087836165
122,Na5Li17S6,-0.8941127836704255,0.0725822855706457
123,Li17S5N6,-0.8676721751689911,0.1392564460438059
124,Li2P6S1,-0.4451898515224456,0.0560594436395919
126,Li17Te5S6,-1.2951082944869996,0.0236036156469294
128,Li1In1S2,-1.1689158082008362,0.0159702400283312
129,Li2Pb19S15,-0.7487529158592224,-0.0132531497423259
130,Li17S5I6,-1.3589598655700683,0.0561822395117765
131,Li1Sn2S5,-0.7911769032478333,0.0520007547171952
133,Sr6Li17S5,-0.7488767683506012,0.1065043851836249
134,Li2S15I19,-0.1517795443534851,0.0227221422668854
136,Li3S5F8,-1.9199392199516296,0.0868747306636041
137,Li6Ca4S1,-0.3808955073356628,0.0637737911302458
138,Li2Ca19S15,-1.9130298495292664,0.0902482782542994
139,Li1Si2S5,-1.043035751581192,0.0136682813838366
140,Li1B2S5,-0.8461812674999237,0.003098262905579
141,Li2S19F15,-1.390809327363968,-0.0919657590465483
142,Sr1Li1S2,-1.7119148969650269,0.098452108868305
143,Li1Ge2S5,-0.78820641040802,0.0211921731076032
144,Li1B1S2,-1.0486808657646178,0.012006139860381
145,Li1Pb2S5,-0.6557509660720825,0.1089505543929459
146,Sr5Li17S6,-0.9676158010959626,0.0488811973117744
147,Li2As1S2,-1.0559314012527463,0.0115061513305882
148,Li3In8S5,-0.6866211056709289,0.0985466653056331
149,Li3Ga8S5,-0.7688181757926941,0.0702857983088677
150,Li17Si6S5,-0.7179099380970001,0.1768963521634156
151,Li6Al1S4,-1.5102204084396362,-0.0453245936669088
152,Li3Se8S5,-0.5390855550765992,0.0075463932034887
153,Li1Cd2S5,-0.6498791873455048,0.1572181600838114
154,Li3Ga5S8,-1.233464813232422,-0.0496432919824223
155,Li1S2I1,-0.6444157123565674,0.1037914296226
156,Li17In6S5,-0.7509065330028534,0.1817338424469566
157,Li1Sn5S2,-0.4350894391536712,0.108542228398413
158,Na2Li1S5,-0.8280410528182983,0.1732151348119101
160,Li2P1S6,-0.8854409992694855,-0.0494382403923864
161,Li17Sn6S5,-0.7973759829998016,0.1692433585254972
162,Li2Zn15S19,-0.950997006893158,0.0814572364955649
163,Li6Hg1S4,-1.2633333683013916,0.0359210837440635
164,Li17S19,-1.127234971523285,0.0117038249408358
165,Li1Pb1S2,-1.000744205713272,-0.007238108109105
166,Li3As5S8,-0.7315765142440795,0.0091515330215454
168,Li1Mg1S2,-1.263196921348572,0.1718704105710709
169,Li1P2S5,-0.7146144509315491,0.0253071233076642
170,Li3S8F5,-1.3446943581104278,0.1703713664794153
171,Li1In2S1,-0.5828475177288055,0.1880514697191111
172,Li3S2,-1.3770461916923522,0.0016242918433624
173,Li3P5S8,-0.8031854271888733,-0.0045463791782701
174,Li3Ge8S5,-0.6018209338188172,0.0663448568452451
176,Li1Ge1S2,-1.0543221652507782,-0.0812724719174446
177,Li1Te2S1,-0.6026223003864288,0.1105155030084583
179,Sr15Li2S19,-1.9911182522773745,0.1627020523117439
180,Li1Sn2S1,-0.6076092481613159,0.1307488349116005
181,Li6P1S4,-1.288950765132904,0.0410196780424203
182,Li6Ge1S4,-1.3333711624145508,0.0124910469036314
185,Li6Te4S1,-1.0754565834999084,0.0514907703599396
186,Li6S1I4,-1.3135873317718505,0.1309354648758762
188,Li1As5S2,-0.3625428676605224,0.0674068404905208
189,Li6P4S1,-0.6547811686992645,0.1358721010653464
190,Li17Te6S5,-1.261228895187378,0.0225890730492293
191,Li3Al5S8,-1.5261734962463378,-0.0945977548574474
193,Li2Al15S19,-1.4089293241500855,-0.1253165616674478
196,Li17P5S6,-0.9935674667358398,0.1600000271013204
197,Li2As1S6,-0.7802382647991181,-0.0493963290120792
198,Li3Mg8S5,-1.0014623403549194,0.1636499594308689
199,Li2Ge15S19,-0.6947670221328736,-0.0598836927752343
200,Li1S17,-0.174220871925354,0.0002808146950157
202,Li2S6I1,-0.7661694467067719,-0.084629565919734
203,Li1Si1S2,-1.2416041374206543,-0.1084933520039872
204,Li6S1F4,-2.581814503669739,0.1308121538870796
205,Li2Al1S2,-1.464763295650482,-0.0464899657338144
207,Sr2Li2S1,-0.8040277361869812,0.153999155771352
209,Li2S15F19,-1.6767472863197326,-0.0864973618391182
211,Li1Te2S5,-0.4019799053668976,-0.0093511104710637
214,Li6S5,-1.2327797651290893,0.0435546622653917
215,Li6B1S4,-1.3015568137168885,0.0504344061063439
216,Li1Zn2S5,-0.7576394140720367,0.1350041060358512
217,Li17S11,-1.3999692916870117,-0.0078976579423259
218,Li6Al4S1,-0.4014386117458343,0.1378548867200754
219,Li6Ga4S1,-0.4995574653148651,0.1398067186055929
222,Li17As6S5,-0.9611568689346314,0.0864389839969156
224,Li2Ga6S1,-0.3847310662269592,0.1165182289350788
225,Li3P8S5,-0.6016370594501496,0.0453173183232887
226,Li1S5I2,-0.5062955737113952,-0.1136667788155614
227,Li2B15S19,-0.8056480705738067,-0.0561887490019132
228,Li3Zn5S8,-1.0868856191635132,0.0243053466400582
234,Li3Ge5S8,-0.9440068423748016,-0.0881159994841762
235,Li17Ca5S6,-0.9504455089569092,0.0688792462960671
236,Li3Si5S8,-1.1366466641426087,-0.0970784656269834
239,Li2Si15S19,-0.9106084823608398,-0.0263557207578297
241,Li17Ga6S5,-0.7581737637519836,0.1980462944250978
242,Li2In19S15,-0.7255819201469421,-0.0082849815994866
243,Sr4Li6S1,-0.3802745580673217,0.0551922110046478
245,Li2Ge1S2,-1.1590784907341003,-0.0026790928174313
247,Li6S4I1,-1.1946045875549316,0.1237769321528616
248,Li1P1S2,-0.9323366641998292,-0.0037970801689515
249,Li2As19S15,-0.416102397441864,0.0105708512155418
250,Li6S1O4,-2.007240879535675,0.0806246154075069
251,Li2S7,-0.687757796049118,-0.017859256898986
252,Li2Sn1S2,-1.1419814348220825,0.0393914980945855
254,Li2Ga19S15,-0.8777250289916992,-0.0418888221109098
255,Li2B19S15,-0.686146080493927,-0.0728654349902422
256,Li2Ge1S6,-0.8472841262817383,-0.0233176206798864
257,Li1Sn1S2,-1.0578563928604126,-0.0311452702562455
263,Li1Zn1S2,-1.0765345573425291,0.0506290914223521
264,Li1B5S2,-0.4552891731262207,0.0750543296862796
265,Li1Se2S5,-0.5010926723480225,0.0604993710025172
266,Li1Hg2S5,-0.391644948720932,0.1588791137083837
268,Li2Cd19S15,-0.8113776385784149,0.0078529075384831
270,Li2S1N6,-0.3187471926212311,0.1825021025408064
271,Li2S19Cl15,-0.8190371930599213,-0.0470022730819127
272,Li2B1S2,-1.1246673703193664,0.0452158507084123
273,Ba19Li2S15,-1.882007133960724,0.0597313226191364
274,Li2In1S6,-0.7006244421005249,0.1749949525754012
275,Li1As2S1,-0.5887457311153412,0.0784027392492425
276,Na2Li1S1,-0.9929888010025024,0.0398992876954139
277,Li2Mg19S15,-1.470523726940155,-0.0355141047960672
279,Li2Te1S2,-1.0330298006534575,0.000664395006799
281,Li2Mg1S2,-1.616770613193512,-0.0428897686101785
282,Li2Zn1S2,-1.3252634406089785,0.0022944574505465
283,Li3S8Cl5,-1.0050796687602996,0.0015164178959496
285,Li17Ca6S5,-0.7452305793762207,0.1139949070151485
286,Li2Cd1S2,-1.2408851504325866,0.0182358094840811
287,Li1In5S2,-0.4613275587558746,0.1311154653587084
290,Li1Hg1S2,-0.6922918081283569,0.0927523829579526
291,Li6Mg1S4,-1.5749209523200989,-0.0392944490625222
292,Li2Ca1S2,-1.8459033608436584,0.0175393500730085
294,Ba1Li1S2,-1.7415854692459107,0.0622797827332557
297,Li6Se4S1,-1.2567417860031127,-0.0537113983827128
299,Li6S1N4,-0.6052134692668915,0.1172439364717444
302,Li2Mg1S6,-0.8404696047306061,0.1463414715855321
303,Li2Cd1S6,-0.7100850403308868,0.1018594333926589
305,Li17Ge6S5,-0.8017308115959167,0.1413338872597389
306,Li17S5F6,-2.091141176223755,0.0712764183223759
308,Li17Ge5S6,-0.9289072692394256,0.139058824852837
309,Li1Te5S2,-0.3612787961959839,0.0092884123977662
310,Li17Pb5S6,-0.9040528893470764,0.1597520114416145
311,Li6Te1S4,-1.2875545382499696,0.0025325791334798
