id,composition,target,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9
0,Li2Zn2S1,0.0,-0.503801167011261,-0.5042373538017273,-0.4640713930130005,-0.4589077830314636,-0.7065587043762207,-0.6293120980262756,-0.5512643456459045,-0.666638970375061,-0.4941191077232361,0.27919280529022217
1,Na1Li6S4,0.0,-1.4072856903076172,-1.3616678714752197,-1.396600365638733,-1.4075260162353516,-1.364363670349121,-1.4366443157196045,-1.4087656736373901,-1.1827131509780884,-1.2826473712921143,-1.3672846555709839
2,Li17Se6S5,0.0,-1.263875126838684,-1.4376827478408813,-1.2892322540283203,-1.4187904596328735,-1.485011100769043,-1.5082067251205444,-1.5173273086547852,-1.3810462951660156,-1.4652912616729736,-1.415749192237854
3,Li1Se2S1,0.0,-0.6566178798675537,-0.7156171798706055,-0.7320866584777832,-0.8022662401199341,-0.7648798823356628,-0.7425290942192078,-0.7034819722175598,-0.7077988982200623,-0.7949742674827576,-0.5539022088050842
4,Li2C19S15,0.0,0.15066778659820557,0.373052716255188,0.08384168148040771,0.1788567304611206,0.19578707218170166,0.08277320861816406,0.5093507766723633,-0.0629042387008667,0.1914513111114502,0.13281714916229248
5,Na5Li1S2,0.0,-0.9397835731506348,-1.0662964582443237,-0.9511335492134094,-0.9380145072937012,-1.0257415771484375,-0.8836901783943176,-1.0344679355621338,-1.0591508150100708,-0.8607279062271118,-0.9216039180755615
6,Li3Hg8S5,0.0,-0.4155820608139038,-0.49673765897750854,-0.3551448583602905,-0.45938700437545776,-0.5235029458999634,-0.3933544158935547,-0.5577917695045471,-0.5033003687858582,-0.3785768747329712,0.1291053295135498
7,Li2Mg6S1,0.0,-0.2719757556915283,-0.29633283615112305,-0.22346365451812744,-0.2932668924331665,-0.31399309635162354,-0.302471399307251,-0.07538676261901855,-0.3378487825393677,-0.27466845512390137,-0.13730597496032715
8,Sr6Li2S1,0.0,-0.20228028297424316,-0.337746262550354,-0.2634854316711426,-0.3130098581314087,-0.4894448518753052,-0.39523744583129883,-0.29185760021209717,-0.2976560592651367,-0.2362074851989746,-0.3379784822463989
9,Li2Pb6S1,0.0,-0.2919372320175171,-0.2109394073486328,-0.15160751342773438,-0.2698136568069458,-0.3273071050643921,-0.31979048252105713,-0.25235629081726074,-0.2952287197113037,-0.21127653121948242,-0.25543105602264404
10,Li1P2S1,0.0,-0.6080318689346313,-0.5444168448448181,-0.5380363464355469,-0.6783655285835266,-0.649681031703949,-0.7727411389350891,-0.6111895442008972,-0.673309862613678,-0.579129159450531,-0.5514976382255554
11,Li7S5,0.0,-1.3605581521987915,-1.384177803993225,-1.3020539283752441,-1.3914979696273804,-1.365905523300171,-1.290000081062317,-1.3110257387161255,-1.2226587533950806,-1.3219563961029053,-1.260308861732483
12,Li2Si19S15,0.0,-0.6499921083450317,-0.5930966138839722,-0.592171311378479,-0.7363830804824829,-0.8175156712532043,-0.7023166418075562,-0.6863659024238586,-0.6550890207290649,-0.518710732460022,-0.5839200019836426
13,Li17Mg5S6,0.0,-0.7839558124542236,-0.9313273429870605,-0.767004668712616,-0.9597898721694946,-0.8536822199821472,-0.8270105123519897,-0.7977915406227112,-0.9943487644195557,-0.953331470489502,-0.7240110039710999
14,Li1C5S2,0.0,0.019037485122680664,0.3381235599517822,0.1774970293045044,0.30518507957458496,0.023871183395385742,-0.10916948318481445,0.23490726947784424,0.13133513927459717,0.030658721923828125,0.050053954124450684
15,Li6Pb1S4,0.0,-1.3261889219284058,-1.3405234813690186,-1.4046380519866943,-1.3821545839309692,-1.3997761011123657,-1.3725239038467407,-1.378037929534912,-1.3191629648208618,-1.315723180770874,-1.317122459411621
