sub_comp,mpid,reduced_formula,index,pretty_formula,composition,lower_bound,upper_bound,total_range,roost_ensemble_mean,e_hull_from_roost,roost_band_gap
"['Li', 'S', 'Ge', 1.0, 1.0, 2.0]",mp-1001784,LiGe2S,16,LiGe2S,Li1Ge2S1,1.6202451516666685,1.882169921666668,0.2619247699999993,-0.5735153675079345,0.1492342561899822,0.8513588905334473
"['Li', 'S', 'Ge', 1.0, 1.0, 2.0]",mp-1025496,LiGe2S,240,LiGe2S,Li1Ge2S1,1.6202451516666685,1.882169921666668,0.2619247699999993,-0.5735153675079345,0.1492342561899822,0.8513588905334473
"['Li', 'S', 'Ge', 1.0, 1.0, 2.0]",mp-1029395,LiGe2S,352,LiGe2S,Li1Ge2S1,1.6202451516666685,1.882169921666668,0.2619247699999993,-0.5735153675079345,0.1492342561899822,0.8513588905334473
"['Li', 'S', 'As', 1.0, 1.0, 2.0]",mp-1001784,LiAs2S,17,LiAs2S,Li1As2S1,1.842649765,1.897590107708334,0.0549403427083339,-0.5887457311153412,0.0784027392492425,0.8874709606170654
"['Li', 'S', 'As', 1.0, 1.0, 2.0]",mp-1025496,LiAs2S,241,LiAs2S,Li1As2S1,1.842649765,1.897590107708334,0.0549403427083339,-0.5887457311153412,0.0784027392492425,0.8874709606170654
"['Li', 'S', 'As', 1.0, 1.0, 2.0]",mp-1029395,LiAs2S,353,LiAs2S,Li1As2S1,1.842649765,1.897590107708334,0.0549403427083339,-0.5887457311153412,0.0784027392492425,0.8874709606170654
"['Li', 'B', 'S', 1.0, 1.0, 2.0]",mp-1001784,LiBS2,29,LiBS2,Li1B1S2,1.6066680726388918,2.023678212291662,0.4170101396527701,-1.0486808657646178,0.012006139860381,4.340584754943848
"['Li', 'B', 'S', 1.0, 1.0, 2.0]",mp-1025496,LiBS2,253,LiBS2,Li1B1S2,1.6066680726388918,2.023678212291662,0.4170101396527701,-1.0486808657646178,0.012006139860381,4.340584754943848
"['Li', 'B', 'S', 1.0, 1.0, 2.0]",mp-1029395,LiBS2,365,LiBS2,Li1B1S2,1.6066680726388918,2.023678212291662,0.4170101396527701,-1.0486808657646178,0.012006139860381,4.340584754943848
"['Li', 'Al', 'S', 1.0, 1.0, 2.0]",mp-1001784,LiAlS2,36,LiAlS2,Li1Al1S2,0.9655603283333344,2.671237544761908,1.7056772164285738,-1.5474649786949155,-0.0160133992157485,4.118439674377441
"['Li', 'Al', 'S', 1.0, 1.0, 2.0]",mp-1025496,LiAlS2,260,LiAlS2,Li1Al1S2,0.9655603283333344,2.671237544761908,1.7056772164285738,-1.5474649786949155,-0.0160133992157485,4.118439674377441
"['Li', 'Al', 'S', 1.0, 1.0, 2.0]",mp-1029395,LiAlS2,372,LiAlS2,Li1Al1S2,0.9655603283333344,2.671237544761908,1.7056772164285738,-1.5474649786949155,-0.0160133992157485,4.118439674377441
"['Li', 'Ga', 'S', 1.0, 1.0, 2.0]",mp-1001784,LiGaS2,43,LiGaS2,Li1Ga1S2,1.304364953333334,2.6357922752381,1.3314273219047652,-1.2815327882766725,-0.0041846775475054,3.948630332946777
"['Li', 'Ga', 'S', 1.0, 1.0, 2.0]",mp-1025496,LiGaS2,267,LiGaS2,Li1Ga1S2,1.304364953333334,2.6357922752381,1.3314273219047652,-1.2815327882766725,-0.0041846775475054,3.948630332946777
"['Li', 'Ga', 'S', 1.0, 1.0, 2.0]",mp-1029395,LiGaS2,379,LiGaS2,Li1Ga1S2,1.304364953333334,2.6357922752381,1.3314273219047652,-1.2815327882766725,-0.0041846775475054,3.948630332946777
"['Li', 'As', 'S', 1.0, 1.0, 2.0]",mp-1001784,LiAsS2,45,LiAsS2,Li1As1S2,1.903691282291664,2.225513799166668,0.3218225168750042,-0.8558574616909027,0.0032793040382639,1.9679925441741943
"['Li', 'As', 'S', 1.0, 1.0, 2.0]",mp-1025496,LiAsS2,269,LiAsS2,Li1As1S2,1.903691282291664,2.225513799166668,0.3218225168750042,-0.8558574616909027,0.0032793040382639,1.9679925441741943
"['Li', 'As', 'S', 1.0, 1.0, 2.0]",mp-1029395,LiAsS2,381,LiAsS2,Li1As1S2,1.903691282291664,2.225513799166668,0.3218225168750042,-0.8558574616909027,0.0032793040382639,1.9679925441741943
"['Li', 'In', 'S', 1.0, 1.0, 2.0]",mp-1001784,LiInS2,49,LiInS2,Li1In1S2,1.4276477033333337,2.582973254523813,1.15532555119048,-1.1689158082008362,0.0159702400283312,3.4877500534057617
"['Li', 'In', 'S', 1.0, 1.0, 2.0]",mp-1025496,LiInS2,273,LiInS2,Li1In1S2,1.4276477033333337,2.582973254523813,1.15532555119048,-1.1689158082008362,0.0159702400283312,3.4877500534057617
"['Li', 'In', 'S', 1.0, 1.0, 2.0]",mp-1029395,LiInS2,385,LiInS2,Li1In1S2,1.4276477033333337,2.582973254523813,1.15532555119048,-1.1689158082008362,0.0159702400283312,3.4877500534057617
