pretty_formula,composition,lower_bound,upper_bound,total_range,roost_ensemble_mean,e_hull_from_roost,roost_band_gap
Li6PbS4,Li6Pb1S4,1.4710951116666615,2.106272694166674,0.6351775825000123,-1.3555851578712463,0.0173952414469362,1.1119027137756348
LiGaS2,Li1Ga1S2,1.304364953333334,2.6357922752381,1.3314273219047652,-1.2815327882766725,-0.0041846775475054,3.948630332946777
Ba(LiS)2,Ba1Li2S2,-0.0,1.9558316766666688,1.9558316766666688,-1.8373030304908755,-0.0030444945742078,3.4720025062561035
Li6ZnS4,Li6Zn1S4,1.192348906309522,2.1291348971428583,0.9367859908333362,-1.424084222316742,-0.0004226947518062,2.650219440460205
Li6SnS4,Li6Sn1S4,1.5578113191666696,1.720367774166666,0.1625564549999962,-1.2969400763511658,0.0602737397851982,1.300834059715271
LiAl5S2,Li1Al5S2,0.9655603283333348,1.5980134194444453,0.6324530911111106,-0.5719046294689178,0.1938211602706658,2.9281046390533447
Sr(Li3S2)2,Sr1Li6S4,-0.0,2.059910095416671,2.059910095416671,-1.678688156604767,-0.0128822084987045,3.400786876678467
LiS2O5,Li1S2O5,3.4889954398610987,3.495804525416718,0.006809085555619,-1.808927750587464,0.184284778527122,6.265999794006348
Li2B6S,Li2B6S1,0.9480586841666638,1.5865356138888864,0.6384769297222226,-0.4154757022857666,0.0857735928762709,2.205274820327759
LiAsS2,Li1As1S2,1.903691282291664,2.225513799166668,0.3218225168750042,-0.8558574616909027,0.0032793040382639,1.9679925441741943
Ba(Li3S2)2,Ba1Li6S4,-0.0,1.955831676666678,1.955831676666678,-1.6668752312660218,-0.0128952319478379,2.921460151672364
Li2P2S,Li2P2S1,1.2717621341666805,1.7076498834523823,0.435887749285702,-0.7142254710197449,0.1880232602719216,2.2111589908599854
Li2SCl6,Li2S1Cl6,3.526045881145832,4.273852499166672,0.7478066180208405,-1.25031316280365,0.1099287080875544,4.214334487915039
