id,composition,roost_ensemble_mean
264,Li1B5S2,-0.4552891731262207
265,Li1Se2S5,-0.5010926723480225
266,Li1Hg2S5,-0.39164494872093203
267,Li3S8O5,-1.2192968845367431
268,Li2Cd19S15,-0.8113776385784149
269,Li2S1O2,-1.6059695482254028
270,Li2S1N6,-0.3187471926212311
271,Li2S19Cl15,-0.8190371930599213
272,Li2B1S2,-1.1246673703193664
273,Ba19Li2S15,-1.8820071339607238
274,Li2In1S6,-0.7006244421005249
275,Li1As2S1,-0.5887457311153412
276,Na2Li1S1,-0.9929888010025024
277,Li2Mg19S15,-1.470523726940155
278,Ba8Li3S5,-1.2435266494750976
279,Li2Te1S2,-1.0330298006534577
280,Li17C5S6,-0.5752308309078217
281,Li2Mg1S2,-1.616770613193512
282,Li2Zn1S2,-1.3252634406089783
283,Li3S8Cl5,-1.0050796687602996
284,Li2S1O6,-1.3154148936271668
285,Li17Ca6S5,-0.7452305793762207
286,Li2Cd1S2,-1.2408851504325866
287,Li1In5S2,-0.4613275587558746
288,Li17Cd5S6,-0.8076542437076568
289,Na6Li2S1,-0.229636150598526
290,Li1Hg1S2,-0.6922918081283569
291,Li6Mg1S4,-1.5749209523200989
292,Li2Ca1S2,-1.8459033608436584
293,Li2C1S2,-0.7819990277290344
294,Ba1Li1S2,-1.7415854692459107
295,Ba2Li1S1,-0.9339950680732727
296,Li2S2I1,-0.8450569033622741
297,Li6Se4S1,-1.2567417860031127
298,Li3S8N5,-0.21360450983047485
299,Li6S1N4,-0.6052134692668915
300,Li1Cd2S1,-0.4407012820243835
301,Sr2Li1S5,-1.2758139491081237
302,Li2Mg1S6,-0.8404696047306061
303,Li2Cd1S6,-0.7100850403308868
304,Na5Li3S8,-0.6486880898475647
305,Li17Ge6S5,-0.8017308115959167
306,Li17S5F6,-2.091141176223755
307,Li2Ca15S19,-1.8879464268684387
308,Li17Ge5S6,-0.9289072692394257
309,Li1Te5S2,-0.3612787961959839
310,Li17Pb5S6,-0.9040528893470764
311,Li6Te1S4,-1.2875545382499696
312,Li2Hg19S15,-0.41969836354255674
313,Li2Ca6S1,-0.32409231662750243
314,Li3Pb8S5,-0.676478898525238
315,Li2P19S15,-0.47891507148742674
316,Li1S3,-0.7485731601715088
317,Li2Te19S15,-0.3134850084781647
318,Li1Al2S1,-0.6558547735214233
319,Li1Ge2S1,-0.5735153675079345
320,Li6Zn4S1,-0.3512804865837097
321,Li1Al1S2,-1.5474649786949157
322,Li2As6S1,-0.3530910313129425
323,Li2Ga2S1,-0.6548246800899505
324,Li17Al6S5,-0.7027649998664856
325,Li3S5,-0.9738011002540589
326,Li2Mg2S1,-0.6328409612178802
327,Li6In4S1,-0.47499648928642274
328,Li3Zn8S5,-0.7265193939208985
329,Li2Si1S2,-1.2289182305336
330,Li1S2Cl5,-0.918658584356308
331,Li2Hg2S1,-0.11281145811080932
332,Li1Zn2S1,-0.5037286281585693
333,Li10S1,-0.3773971974849701
334,Li2S6Cl1,-0.8932393074035645
335,Li3Cd8S5,-0.6702390551567078
336,Li6Se1S4,-1.275743842124939
337,Li1Ga5S2,-0.5359640121459961
338,Li2Se19S15,-0.2334054946899414
339,Li7S4,-1.495272731781006
340,Li8S1,-0.4309752881526947
341,Li1Al2S5,-1.1256741166114808
342,Li2B1S6,-0.8559130072593689
343,Li2In1S2,-1.2188700437545776
344,Li1S7,-0.3875153958797455
345,Li2Pb1S2,-1.2052868843078612
346,Li2Hg15S19,-0.4107773959636688
347,Li2S2F1,-1.198975259065628
348,Li2P15S19,-0.563860684633255
349,Li6C1S4,-1.0788560867309571
350,Li17S5O6,-1.5726006984710694
351,Li2Ge19S15,-0.5324022889137268
352,Ba1Li2S6,-1.0553324043750762
353,Li1C1S2,-0.5635234773159027
354,Li1S5O2,-0.9850794494152069
355,Li17Hg5S6,-0.7267851591110229
356,Li2Se1S2,-1.011940598487854
357,Li17P6S5,-0.8918726980686188
358,Li4S1,-0.9081341922283173
359,Na8Li3S5,-1.2512247800827025
360,Li17Mg6S5,-0.6475917220115661
361,Li3Sn8S5,-0.6693022847175598
362,Na19Li2S15,-0.9521396577358245
363,Li2Pb1S6,-0.7016929149627685
364,Ba5Li3S8,-1.8982586145401001
365,Li1Ca2S1,-0.9514730632305145
366,Li17As5S6,-1.052748256921768
367,Li1S2F5,-2.1406798124313355
368,Li1Si5S2,-0.3260611414909363
369,Li1Ca2S5,-1.1922904193401336
370,Li3Se5S8,-0.5042876303195953
371,Li1As2S5,-0.588916438817978
372,Li2As2S1,-0.7103552758693695
373,Li6Cd4S1,-0.416173529624939
374,Li1Ca1S2,-1.6476991295814514
375,Li3Ca5S8,-1.8236175775527954
376,Li6C4S1,-0.22806956768035888
377,Li17Ga5S6,-0.8985292255878449
378,Li2S2N1,-0.2655447244644165
379,Li2S1F6,-2.6124279737472533
380,Li3B5S8,-0.9678940773010254
381,Li3S8I5,-0.4961760461330414
382,Li11S3,-1.0030125617980956
383,Li2S6N1,-0.44972422122955324
384,Li17In5S6,-0.8841006398200989
385,Li1Pb5S2,-0.41480751633644103
386,Li2Ga1S6,-0.800669264793396
387,Li2C1S6,-0.4508348166942596
388,Li2C2S1,-0.36629766821861265
389,Li3Hg5S8,-0.6058975219726562
390,Ba2Li2S1,-0.7613000452518464
391,Sr1Li2S2,-1.8602447867393495
392,Sr1Li2S6,-1.0380024313926697
393,Li2Sn19S15,-0.6482037484645844
394,Li3Al8S5,-0.8326226830482483
395,Li17S6I5,-1.371601116657257
396,Li6Si4S1,-0.41921815276145935
397,Li17Al5S6,-0.8565968096256256
398,Li6Si1S4,-1.3973464727401734
399,Li1Zn5S2,-0.45625045895576477
400,Li1Ca5S2,-0.8207723379135132
401,Li2Al1S6,-0.8972040593624115
402,Li2Hg1S2,-1.0084823369979858
403,Li2Pb2S1,-0.5872144222259521
404,Li6Ca1S4,-1.6867436647415162
405,Li2Hg1S6,-0.5660007715225219
406,Li2S19O15,-1.1590059638023376
407,Li2Al2S1,-0.6171484053134918
408,Li1Mg2S1,-0.7482727706432343
409,Li17Sn5S6,-0.9166454136371612
410,Li2Ca1S6,-0.9775905847549439
411,Li2S2O1,-0.993084716796875
412,Li1S5Cl2,-0.8635278344154358
413,Li17Si5S6,-0.852888411283493
414,Li6Cd1S4,-1.384498155117035
415,Li2S15Cl19,-0.8364915490150452
416,Li1S2N5,0.030383574962615966
417,Li17S6Cl5,-1.6840818166732787
418,Li3As8S5,-0.5676587045192718
419,Li2Zn6S1,-0.31088756322860717
420,Li2Te1S6,-0.7148112058639526
421,Li1S1F2,-2.0789462327957153
422,Li2S19N15,-0.026417171955108627
423,Li11S5,-1.514256513118744
424,Li1S1I2,-0.4324433505535126
425,Li2Se2S1,-1.0288603246212005
426,Li1B2S1,-0.46191349625587463
427,Li2Ga1S2,-1.2974539875984192
428,Li3B8S5,-0.5793911218643188
429,Li2In6S1,-0.3157044887542725
430,Li2Sn15S19,-0.7684598445892334
431,Li1Pb2S1,-0.5607957065105438
432,Li6Ga1S4,-1.4046170949935912
433,Li2S1N2,-0.5488145887851715
434,Li17Pb6S5,-0.7633498549461365
435,Li2Al6S1,-0.2937380075454712
436,Ba15Li2S19,-2.013018584251404
437,Li17S5Cl6,-1.7170384407043457
