pretty_formula,composition
LiSiS2,Li1Si1S2
Li3Zn2S,Li3Zn2S1
LiS5,Li1S5
LiTe2S3,Li1Te2S3
LiPb2S,Li1Pb2S1
Li3Pb2S,Li3Pb2S1
LiZn3S2,Li1Zn3S2
LiSF2,Li1S1F2
LiSi2S,Li1Si2S1
LiHg2S,Li1Hg2S1
LiInS2,Li1In1S2
Ba3LiS2,Ba3Li1S2
Li3MgS2,Li3Mg1S2
Li3SiS2,Li3Si1S2
Li3AsS2,Li3As1S2
LiB3S2,Li1B3S2
LiS3N2,Li1S3N2
